time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2014-06-18 04:47:32+00,61826,1256.3,1229.7,Blitz,12.9732,18,0,1367.2,-20.966,0,1...fxe6,3,true,false,73.1865,"Exposed King:9,Coercion:4"
2014-06-18 04:47:04+00,61197,1312.69,1310.44,Blitz,44.6771,62,5,1388.17,1.37941,1,-,2,false,false,74.5955,"Fork:12,Needs Different Opponent Move...:3"
2014-06-18 04:45:53+00,71814,1237.01,1217.45,Blitz,17.9384,11,1,1386.79,10.3319,1,-,2,false,false,76.2039,"Hanging Piece:12,Unsound Sacrifice:6,Counting:4,Zwischenzug:2"
2014-06-18 04:45:34+00,55047,1258.19,1283.18,Blitz,24.8269,14,1,1376.46,12.2235,1,-,2,false,false,77.7321,"Fork:15,Distraction:8,Exposed King:4,Multiple Attack:1,Removing the Guard:1"
2014-06-18 04:45:11+00,22468,1302.45,1357.2,Blitz,22.6689,11,0,1364.24,15.7569,1,-,1,false,false,79.4823,Hanging Piece:22
2014-06-18 04:44:51+00,53166,1212.87,1179,Blitz,17.1172,25,0,1348.48,-1.57446,1,-,1,false,false,81.521,Hanging Piece:14
2014-06-18 04:44:18+00,48484,1071.28,1021.8,Blitz,15.1679,3,1,1350.05,6.98792,1,-,2,false,false,83.4332,"Fork:12,Exposed King:7"
2014-06-18 04:44:04+00,55155,1008.12,904.82,Blitz,17.5986,9,1,1343.06,5.52166,1,-,2,false,false,85.0618,Fork:9
2014-06-18 04:43:47+00,27614,1416.95,1384.28,Blitz,35.2303,14,0,1337.54,28.0698,1,-,1,false,false,86.725,"Hanging Piece:16,Defensive Move:5,Pin:3,Discovered Attack:2,Coercion:2,Counting:1"
2014-06-18 04:43:25+00,77941,1372.28,1339.88,Blitz,27.6949,21,13,1309.47,20.9815,1,-,4,false,false,89.2131,"Fork:17,Pin:14,Sacrifice:10,Attraction:10"
2014-06-18 04:42:57+00,100397,1075.9,1068.26,Blitz,24.0952,8,1,1288.49,11.663,1,-,2,false,false,92.0453,Fork:9
2014-06-18 04:42:40+00,33498,1128.15,1041.02,Blitz,21.0078,8,1,1276.83,16.2979,1,-,2,false,false,94.4078,"Fork:10,Exposed King:5"
2014-06-18 04:42:19+00,70716,1207.56,1272.1,Blitz,20.5041,12,0,1260.53,-33.9348,0,1.Rxc8,2,false,false,97.5008,"Distraction:8,Overloading:6,Capturing Defender:1,Counting:1,Removing the Guard:1"
2014-06-18 04:41:40+00,90218,1222.24,1260.07,Blitz,45.3936,20,2,1294.46,25.4894,1,-,2,false,false,101.236,"Exposed King:8,Mate Threat:8,Simplification:7,Defensive Move:3"
2014-06-18 04:41:11+00,22029,1273,1258.14,Blitz,18.3094,3901559,0,1268.97,-30.5048,1,-,1,false,false,105.652,Hanging Piece:19
2014-05-04 00:55:04+00,103812,1191.03,1192.29,Blitz,19.7708,14,3,1299.47,11.3787,1,-,3,false,false,73.8406,"Fork:9,Coercion:4"
2014-05-04 00:54:37+00,63924,1213.32,1276.28,Blitz,25.8535,21,0,1288.09,-20.638,0,1.Qxh7,2,false,false,75.334,"Exposed King:7,Zwischenzug:6,Attraction:5,Distraction:4"
2014-05-04 00:54:05+00,78313,1285.25,1189.2,Blitz,26.203,5,2,1308.73,16.6724,1,-,3,false,false,76.942,"Unsound Sacrifice:11,Defensive Move:3"
